Day_of_Year,temperature_2m_min.p5,temperature_2m_min.p25,temperature_2m_min.p50,temperature_2m_min.p75,temperature_2m_min.p95,temperature_2m_max.p5,temperature_2m_max.p25,temperature_2m_max.p50,temperature_2m_max.p75,temperature_2m_max.p95,relative_humidity.p5,relative_humidity.p25,relative_humidity.p50,relative_humidity.p75,relative_humidity.p95,proba_wind.p5,proba_wind.p25,proba_wind.p50,proba_wind.p75,proba_wind.p95,proba_precipitation.p5,proba_precipitation.p25,proba_precipitation.p50,proba_precipitation.p75,proba_precipitation.p95,snow_depth.p5,snow_depth.p25,snow_depth.p50,snow_depth.p75,snow_depth.p95
1,-3.85,0.05,3.15,5.15,8.71,0.71,5.00,8.04,9.89,12.00,94.43,96.55,97.44,98.23,99.18,0.45,15.45,45.90,72.27,87.27,6.66,27.66,40.33,53.66,71.00,0.00,0.00,0.00,0.01,3.32
2,-3.86,0.12,3.06,4.98,8.57,0.86,5.07,8.00,9.87,11.95,94.33,96.51,97.42,98.20,99.17,0.45,16.82,46.36,73.18,87.27,7.66,27.66,41.33,54.33,70.66,0.00,0.00,0.00,0.01,3.33
3,-3.83,-0.02,2.98,4.89,8.46,0.89,4.94,7.89,9.81,11.91,94.27,96.47,97.37,98.18,99.17,1.36,18.63,47.27,73.63,88.18,8.66,28.33,42.00,54.66,70.00,0.00,0.00,0.00,0.01,3.35
4,-3.82,-0.19,2.87,4.83,8.43,0.88,4.79,7.79,9.74,11.84,94.25,96.43,97.34,98.15,99.16,1.82,20.00,48.18,73.63,88.63,9.66,29.00,42.00,54.66,69.33,0.00,0.00,0.00,0.01,3.42
5,-3.79,-0.30,2.74,4.76,8.33,0.92,4.73,7.71,9.64,11.81,94.25,96.40,97.32,98.16,99.16,1.82,22.27,49.09,73.63,88.63,10.33,29.66,42.33,55.66,67.66,0.00,0.00,0.00,0.01,3.52
6,-3.51,-0.38,2.74,4.76,8.11,0.95,4.71,7.75,9.69,11.71,94.14,96.39,97.32,98.17,99.14,1.82,24.54,49.54,73.63,87.72,10.66,30.33,42.66,56.66,66.33,0.00,0.00,0.00,0.01,3.58
7,-3.59,-0.42,2.71,4.72,8.07,0.91,4.76,7.70,9.64,11.63,94.18,96.41,97.33,98.18,99.13,1.82,26.81,50.00,73.63,87.27,11.00,30.33,42.66,57.00,65.33,0.00,0.00,0.00,0.01,3.45
8,-3.61,-0.39,2.68,4.56,7.92,0.92,4.74,7.63,9.56,11.59,94.15,96.36,97.31,98.13,99.12,1.82,28.63,50.91,73.63,87.27,11.00,30.33,42.66,57.00,65.00,0.00,0.00,0.00,0.01,3.37
9,-3.57,-0.44,2.56,4.46,7.85,0.97,4.76,7.53,9.54,11.59,94.15,96.33,97.29,98.11,99.11,1.82,29.54,50.45,72.72,85.90,10.33,30.33,42.00,55.66,64.66,0.00,0.00,0.00,0.01,3.41
10,-3.62,-0.57,2.42,4.42,7.82,0.91,4.72,7.37,9.47,11.54,94.16,96.31,97.27,98.10,99.08,1.82,29.08,50.45,70.90,84.54,10.00,29.66,41.67,54.33,65.00,0.00,0.00,0.00,0.00,3.48
11,-3.69,-0.72,2.21,4.31,7.71,0.85,4.60,7.18,9.38,11.46,94.08,96.26,97.27,98.08,99.04,1.82,28.63,49.54,68.63,83.63,9.33,29.33,41.33,53.00,65.33,0.00,0.00,0.00,0.00,3.61
12,-3.73,-0.95,2.08,4.19,7.53,0.85,4.50,7.10,9.26,11.35,93.97,96.25,97.26,98.06,99.05,1.36,26.81,48.18,65.90,82.27,8.33,29.33,40.67,52.00,65.66,0.00,0.00,0.00,0.01,3.80
13,-3.84,-0.97,2.02,4.22,7.40,0.82,4.51,7.11,9.22,11.26,94.02,96.29,97.28,98.07,99.08,0.45,24.99,45.91,63.18,80.90,7.00,28.33,40.00,51.00,66.66,0.00,0.00,0.00,0.01,3.98
14,-3.81,-1.03,1.92,4.16,7.35,0.83,4.47,6.94,9.07,11.26,94.15,96.34,97.30,98.08,99.08,0.00,22.72,44.09,61.36,79.09,5.66,27.00,39.33,50.00,68.33,0.00,0.00,0.00,0.01,4.20
